,Tokens,Occurences
0,homolog,"[('T1.txt', 1), ('T7.txt', 1)]"
1,sit,"[('T1.txt', 1)]"
2,smooth,"[('T1.txt', 1), ('T8.txt', 1), ('T10.txt', 1)]"
3,trip,"[('T8.txt', 1)]"
4,obviat,"[('T7.txt', 1)]"
5,intercross,"[('T7.txt', 1)]"
6,nobl,"[('T7.txt', 1)]"
7,berenic,"[('T5.txt', 2)]"
8,ditch,"[('T6.txt', 1)]"
9,ten,"[('T1.txt', 3), ('T2.txt', 1), ('T3.txt', 5), ('T4.txt', 1), ('T5.txt', 1), ('T6.txt', 2), ('T9.txt', 1), ('T10.txt', 1)]"
10,liver,"[('T7.txt', 1)]"
11,_opposite_,"[('T9.txt', 1)]"
12,uranium,"[('T6.txt', 2), ('T9.txt', 11)]"
13,mesohippu,"[('T7.txt', 2)]"
14,attitud,"[('T1.txt', 1)]"
15,relic,"[('T7.txt', 2)]"
16,9,"[('T2.txt', 1), ('T5.txt', 4), ('T6.txt', 1), ('T7.txt', 1), ('T9.txt', 1), ('T10.txt', 3)]"
17,reef,"[('T1.txt', 1), ('T6.txt', 2)]"
18,travers,"[('T1.txt', 1), ('T9.txt', 1)]"
19,care,"[('T1.txt', 1), ('T2.txt', 1), ('T3.txt', 1), ('T6.txt', 1), ('T7.txt', 8)]"
20,fri,"[('T1.txt', 3)]"
21,instinct_,"[('T1.txt', 1)]"
22,broad,"[('T4.txt', 1), ('T5.txt', 1), ('T7.txt', 2), ('T10.txt', 1)]"
23,strenuou,"[('T6.txt', 1), ('T7.txt', 4)]"
24,cohes,"[('T10.txt', 1)]"
25,ray,"[('T1.txt', 11), ('T2.txt', 6), ('T3.txt', 1), ('T4.txt', 2), ('T8.txt', 2), ('T9.txt', 31), ('T10.txt', 2)]"
26,fuel,"[('T9.txt', 1)]"
27,within,"[('T1.txt', 7), ('T2.txt', 2), ('T3.txt', 1), ('T4.txt', 2), ('T5.txt', 2), ('T6.txt', 7), ('T7.txt', 6), ('T8.txt', 2), ('T9.txt', 2), ('T10.txt', 4)]"
28,guidanc,"[('T7.txt', 1)]"
29,1921,"[('T1.txt', 2), ('T7.txt', 1), ('T9.txt', 1)]"
